code,name,country,slug
0A,Amber Air,Lithuania,0A
0B,Blue Air,Romania,0B
0C,Catovair,Mauritius,0C
0D,Darwin Airline,Switzerland,0D
0G,Ghadames Air Transport,Libya,0G
0J,Premium Jet,Germany,0J
0K,Aircompany Kokshetau,Kazakhstan,0K
0P,Palau Asia Pacific Air,Palau,0P
0S,SpiceJet,India,0S
0V,Vietnam Air Service Company,Viet Nam,0V
0Y,Fly Yeti,Nepal,0Y
1X,Branson AirExpress,USA,1X
2A,Deutsche Bahn AG   ,Germany,2A
2B,OJSC AK BARS AERO,Russian Federation,2B
2C,SNCF   ,France,2C
2D,Aerovip,Argentina,2D
2E,Smokey Bay Air,USA,2E
2F,Frontier Flying Service,USA,2F
2G,Angara Airlines,Russian Federation,2G
2G1,San Juan Airlines   ,USA,2G1
2H,Thalys International,Belgium,2H
2I,Star Peru,Peru,2I
2J,Air Burkina,Burkina Faso,2J
2K,AEROGAL,Ecuador,2K
2L,Helvetic Airways,Switzerland,2L
2M,Moldavian Airlines,Moldova Republic of,2M
2N,Nextjet,Sweden,2N
2O,Island Air Service,USA,2O
2P,PAL Express,Philippines,2P
2Q,Nuovo Trasporto Viaggiatori,Italy,2Q
2Q1,Blekingeflyg,Sweden,2Q1
2Q2,Sundsvallsflyg,Sweden,2Q2
2Q3,Flysmaland,Sweden,2Q3
2Q4,Kalmarflyg,Sweden,2Q4
2R,Via Rail Canada,Canada,2R
2S,Sunny Airways,Thailand,2S
2T,Alajnihah AirTransport,Libya,2T
2U,Sun d'Or International Airlines,Israel,2U
2V,Amtrak,USA,2V
2W,Welcome Air,Austria,2W
2Y,Air Andaman,Thailand,2Y
2Z,TTA,Mozambique,2Z
3A,Chu Kong Passenger Transport Co Ltd.,Hong Kong (sar) China,3A
3B,Job Air - Central Connect Airlines,Czech Republic,3B
3C,RegionsAir   ,USA,3C
3D,Denim Air   ,Netherlands,3D
3E,"Multi-Aero, Inc. D/b/A Air Choice One",USA,3E
3F,Pacific Airways Inc,USA,3F
3G,Gambia Bird Airlines Ltd.,Gambia,3G
3H,Air Inuit,Canada,3H
3I,Pison Airways,Ghana,3I
3J,Jubba Airways Ltd,Kenya,3J
3K,Jetstar Asia,Singapore,3K
3L,Intersky,Austria,3L
3M,Silver Airways Corp,USA,3M
3N,Air Urga,Ukraine,3N
3O,Air Arabia Maroc,Morocco,3O
3P,Tiara Air Aruba,Aruba,3P
3Q,Carib Aviation,"Antigua and Barbuda, Leeward Islands",3Q
3R,Gromov Air,Russian Federation,3R
3S,Air Antilles,France,3S
3T,Turan Air,Azerbaijan,3T
3U,Sichuan Airlines,China,3U
3V,TNT Airways S.A.,Belgium,3V
3W,Freedom Airways,Austria,3W
3X,Premier Trans Aire,USA,3X
3Y,Madina Air,Libya,3Y
3Z,Travel Service Polska,Poland,3Z
4A,Royal Bengal Airline,Bangladesh,4A
4B,Boutique Air,USA,4B
4C,Aires,Colombia,4C
4D,Air Sinai,Egypt,4D
4E,Tanana Air Service,USA,4E
4F,Air City,Germany,4F
4G,Gazpromavia,Russian Federation,4G
4H,United Airways Bangladesh,Bangladesh,4H
4I,IzAir,Turkey,4I
4J,Somon Air,Tajikistan,4J
4K,Kenn Borek Air,Canada,4K
4L,Georgian International Airlines,Georgia,4L
4M,LanArgentina,Argentina,4M
4N,Air North,Canada,4N
4O,Interjet,Mexico,4O
4P,Southern Star Airlines,South Sudan,4P
4Q,SAFi Airways,Afghanistan,4Q
4R,Hamburg International,Germany,4R
4S,Solar Cargo,Venezuela,4S
4T,Belair Airlines,Switzerland,4T
4T2,Khantyavia   ,Russian Federation,4T2
4U,germanwings,Germany,4U
4V,Lignes Aeriennes Congolaises,Congo Democratic Republic of,4V
4W,Warbelow's Air Ventures Inc.,USA,4W
4X,Mercury World Cargo,USA,4X
4Y,Flight Alaska,USA,4Y
4Z,South African Airlink,South Africa,4Z
4Z1,Swazi Airlink     ,Swaziland,4Z1
5A,Alpine Aviation,USA,5A
5B,Euro-Asia Air International,Kazakhstan,5B
5C,NatureAir,Costa Rica,5C
5D,Aeromexico Connect,Mexico,5D
5E,Nok mini,Thailand,5E
5F,Arctic Circle Air Service,USA,5F
5G,Fly 540 Ghana,Ghana,5G
5H,Five Forty Aviation,Kenya,5H
5I,Alsa Grupo Slu,Spain,5I
5J,Cebu Pacific Air,Philippines,5J
5K,Hi Fly Transportes Aereos,Portugal,5K
5L,Aerosur,Bolivia,5L
5M,FlyMontserrat,"Montserrat, Leeward Islands",5M
5N,Nordavia - Regional Airlines,Russian Federation,5N
5O,europe AIRPOST,France,5O
5P,Aerolinea Principal,Chile,5P
5Q,BQB Air,Uruguay,5Q
5Q1,Euroceltic   ,United Kingdom,5Q1
5R,Karthago Airlines,Tunisia,5R
5S,Global Aviation and Service Group,Libya,5S
5T,Canadian North,Canada,5T
5U,Transportes Aereo Guatemaltecos,Guatemala,5U
5V,Everts Air,USA,5V
5W,Astraeus,United Kingdom,5W
5W1,Iceland Express,Iceland,5W1
5W2,Palmair,United Kingdom,5W2
5X,United Parcel Service Co.,USA,5X
5Y,Atlas Air,USA,5Y
5Z,Bismillah Airlines,Bangladesh,5Z
6A,AVIACSA,Mexico,6A
6B,Baxter Aviation,Canada,6B
6C,Air Timor,Timor-leste,6C
6D,Travel Service Slovakia,Slovakia,6D
6E,IndiGo Air,India,6E
6F,MAT Airways,Macedonia Former Yugoslav Republic of,6F
6G,Sun Air International,USA,6G
6G1,Virgin Islands International Airways   ,"Virgin Islands, US",6G1
6H,Israir,Israel,6H
6I,Air Alsie,Denmark,6I
6J,Jubba Airways,Somalia,6J
6K,KyrgyzTransAvia,Kyrgyzstan,6K
6L,Aklak Air,Canada,6L
6M,Air Minas Linhas Aereas,Brazil,6M
