Code,Name,City,Slug,Lat,Long
SNN,Shannon,Shannon,snn,52.701978,-8.924817
LCY,London City Apt,London (GB),lcy,51.505278,0.055278
JFK,New York J F Kennedy International Apt,New York,jfk,40.639751,-73.778925
MAN,Manchester (GB),Manchester (GB),man,53.353744,-2.27495
EDI,Edinburgh,Edinburgh,edi,55.95,-3.3725
AGP,Malaga Airport,Malaga,agp,36.6749,-4.499106
STN,London Stansted Apt,London (GB),stn,51.885,0.235
LPL,Liverpool,Liverpool,lpl,53.333611,-2.849722
LGW,London Gatwick Apt,London (GB),lgw,51.148056,-0.190278
ACE,Lanzarote,Lanzarote,ace,28.945464,-13.605225
FUE,Fuerteventura,Fuerteventura,fue,28.452717,-13.863761
FMM,Memmingen,Memmingen,fmm,47.988758,10.2395
KRK,Krakow,Krakow,krk,50.077731,19.784836
DUB,Dublin,Dublin,dub,53.421333,-6.270075
PHX,Phoenix Sky Harbor Intl Apt,Phoenix,phx,33.434278,-112.011583
NCE,Nice,Nice,nce,43.658411,7.215872
YYZ,Lester B Pearson Intl,Toronto,yyz,43.677223,-79.630556
ZRH,Zurich Airport,Zurich,zrh,47.464722,8.549167
FAO,Faro,Faro,fao,37.014425,-7.965911
ALC,Alicante,Alicante,alc,38.282169,-0.558156
BVA,Paris Beauvais-Tille Airport,Paris,bva,49.454444,2.112778
ORD,Chicago O'Hare International Apt,Chicago,ord,41.978603,-87.904842
BOS,Boston Logan International Apt,Boston,bos,42.364347,-71.005181
BRS,Bristol (GB) 00,Bristol (GB) 00,brs,51.382669,-2.719089
LHR,London Heathrow Apt,London (GB),lhr,51.4775,-0.461389
PMI,Palma de Mallorca,Palma de Mallorca,pmi,39.55361,2.727778
PIS,Poitiers Biard Airport,Poitiers,pis,46.587745,0.306666
WRO,Wroclaw,Wroclaw,wro,51.102683,16.885836
SXF,Berlin Schoenefeld Apt,Berlin,sxf,52.380001,13.5225
EWR,Newark Liberty International Apt,New York,ewr,40.6925,-74.168667
BHX,Birmingham Airport,Birmingham (GB),bhx,52.453856,-1.748028
WMI,Nowy Dwor Mazowiecki,Nowy Dwor Mazowiecki,wmi,52.451111,20.651667
PHL,Philadelphia International Apt,Philadelphia,phl,39.871944,-75.241139
TFS,Tenerife Sur Apt,Tenerife,tfs,28.044475,-16.572489
MXP,Milan Malpensa Apt,Milan,mxp,45.630606,8.728111
BEG,Belgrade,Belgrade,beg,44.818444,20.309139
BOD,Bordeaux Merignac Apt,Bordeaux,bod,44.828335,-0.715556
DXB,Dubai International,Dubai,dxb,25.252778,55.364444
NRT,Tokyo Narita Intl,Tokyo,nrt,35.764722,140.386389
PEK,Beijing Capital Intl Apt,Beijing,pek,40.080111,116.584556
PRG,Prague Ruzyne,Prague,prg,50.100833,14.26
PVG,Shanghai Pudong International Apt,Shanghai,pvg,31.143378,121.805214
CTA,Catania,Catania,cta,37.466781,15.0664
MCT,Muscat,Muscat,mct,23.593278,58.284444
BCN,Barcelona Apt,Barcelona (ES),bcn,41.297078,2.078464
LUX,Luxembourg,Luxembourg,lux,49.626575,6.211517
SIN,Singapore Changi Apt,Singapore,sin,1.350189,103.994433
IBZ,Ibiza,Ibiza,ibz,38.872858,1.373117
VIE,Vienna International,Vienna,vie,48.110278,16.569722
BEY,Beirut,Beirut,bey,33.820931,35.488389
HAJ,Hannover,Hannover,haj,52.461056,9.685078
OTP,Bucharest Henri Coanda Apt,Bucharest,otp,44.572161,26.102178
HKG,Hong Kong International Apt,Hong Kong,hkg,22.308919,113.914603
GRU,Sao Paulo Guarulhos Intl Apt,Sao Paulo,gru,-23.432075,-46.469511
LIS,Lisbon,Lisbon,lis,38.781311,-9.135919
TLV,Tel Aviv-yafo Ben Gurion International,Tel Aviv-yafo,tlv,32.011389,34.886667
HAM,Hamburg Airport,Hamburg,ham,53.630389,9.988228
KIV,Chisinau,Chisinau,kiv,46.927744,28.930978
KBP,Kiev Borispol Intl Apt,Kiev,kbp,50.345,30.894722
RUH,Riyadh,Riyadh,ruh,24.95764,46.698776
SVO,Moscow Sheremetyevo International Apt,Moscow,svo,55.972642,37.414589
DEL,Delhi,Delhi,del,28.5665,77.103088
FCO,Rome Fiumicino Apt,Rome (IT),fco,41.804475,12.250797
ATH,Athens (GR),Athens (GR),ath,37.936358,23.944467
TIA,Tirana,Tirana,tia,41.414742,19.720561
AMS,Amsterdam,Amsterdam,ams,52.308613,4.763889
SUF,Lamezia Terme,Lamezia Terme,suf,38.905394,16.242269
PMO,Palermo,Palermo,pmo,38.175958,13.091019
DUS,Duesseldorf International Airport,Duesseldorf,dus,51.289453,6.766775
LTN,London Luton Apt,London (GB),ltn,51.874722,-0.368333
NAP,Naples Capodichino Apt,Naples (IT),nap,40.886033,14.290781
JTR,Thira,Thira,jtr,36.399169,25.479333
OLB,Olbia,Olbia,olb,40.898661,9.517628
CAG,Cagliari,Cagliari,cag,39.251469,9.054283
DBV,Dubrovnik,Dubrovnik,dbv,42.561353,18.268244
HER,Irakleion,Irakleion,her,35.339719,25.180297
JMK,Mykonos,Mykonos,jmk,37.435128,25.348103
MAH,Menorca,Menorca,mah,39.862597,4.218647
BRI,Bari,Bari,bri,41.138856,16.760594
CDG,Paris Charles de Gaulle Apt,Paris,cdg,49.012779,2.55
BDS,Brindisi,Brindisi,bds,40.657633,17.947033
BRU,Brussels Airport,Brussels,bru,50.901389,4.484444
CFU,Kerkyra,Kerkyra,cfu,39.601944,19.911667
CPH,Copenhagen Kastrup Apt,Copenhagen,cph,55.617917,12.655972
SPU,Split,Split,spu,43.538944,16.297964
AHO,Alghero,Alghero,aho,40.632133,8.290772
MAD,Madrid Adolfo Suarez-Barajas Apt,Madrid,mad,40.493556,-3.566764
BUD,Budapest,Budapest,bud,47.436933,19.255592
SFO,San Francisco International Apt,San Francisco,sfo,37.618972,-122.374889
PNL,Pantelleria,Pantelleria,pnl,36.816519,11.968864
ATL,Atlanta Hartsfield-jackson Intl Apt,Atlanta,atl,33.636719,-84.428067
AUH,Abu Dhabi International Apt,Abu Dhabi,auh,24.432972,54.651138
TXL,Berlin Tegel Apt,Berlin,txl,52.559686,13.287711
SOF,Sofia,Sofia,sof,42.695194,23.406167
OPO,Porto,Porto,opo,41.248055,-8.681389
LYS,Lyon St-exupery Apt,Lyon,lys,45.726387,5.090833
MRU,Mauritius,Mauritius,mru,-20.430235,57.6836
MBA,Mombasa,Mombasa,mba,-4.034833,39.59425
CAI,Cairo,Cairo,cai,30.121944,31.405556
